,ema_fast,ema_slow,rsi_long,rsi_short,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades
1029,15,150,55,30,-79.21,-23.04,-0.1594,-0.1999,-93.77,0.9945,30
1030,25,200,55,30,-79.26,-23.07,-0.16,-0.2017,-88.99,0.9945,21
1031,12,50,55,30,-79.92,-23.48,-0.165,-0.2046,-95.67,0.9943,96
1032,12,200,55,30,-76.54,-21.47,-0.1687,-0.2022,-90.53,0.9939,38
1033,12,200,55,40,-77.7,-22.13,-0.1843,-0.2221,-91.18,0.9933,30
1034,10,150,50,35,-81.19,-24.31,-0.188,-0.2363,-88.28,0.9935,18
1035,12,50,55,35,-82.07,-24.91,-0.1973,-0.2447,-96.14,0.9932,94
1036,15,200,50,45,-71.19,-18.74,-0.2011,-0.2325,-88.23,0.9925,3
1037,15,150,55,35,-83.86,-26.22,-0.232,-0.2905,-94.91,0.992,30
1038,10,75,50,40,-83.91,-26.26,-0.2324,-0.2952,-93.99,0.992,13
1039,10,75,50,30,-85.09,-27.18,-0.2541,-0.3225,-94.87,0.9912,13
1040,10,75,50,35,-85.28,-27.34,-0.2579,-0.327,-94.94,0.9911,13
1041,15,200,55,30,-82.21,-25.01,-0.2929,-0.3427,-86.94,0.9893,24
1042,25,200,55,35,-86.96,-28.8,-0.2931,-0.3687,-89.56,0.9899,21
1043,12,75,50,45,-83.95,-26.29,-0.3013,-0.3594,-94.08,0.9891,10
1044,12,200,50,35,-79.78,-23.39,-0.3036,-0.3531,-85.85,0.9888,11
1045,12,200,50,40,-80.01,-23.54,-0.3233,-0.3743,-85.85,0.988,11
1046,20,50,50,45,-76.01,-21.18,-0.3269,-0.3605,-92.02,0.987,3
1047,10,75,50,50,-87.85,-29.63,-0.3306,-0.4047,-98.37,0.9882,5
1048,20,200,50,35,-81.5,-24.52,-0.3342,-0.3924,-89.55,0.9876,3
1049,20,200,50,30,-81.9,-24.79,-0.3417,-0.4014,-89.78,0.9874,3
1050,15,200,55,35,-85.05,-27.16,-0.3486,-0.4062,-88.83,0.9873,24
1051,15,200,55,40,-85.27,-27.34,-0.3535,-0.4127,-89.0,0.9871,22
1052,20,200,50,40,-81.56,-24.56,-0.3582,-0.4175,-89.55,0.9867,3
1053,12,200,55,35,-87.62,-29.41,-0.3637,-0.4355,-94.09,0.9869,36
1054,12,50,50,30,-90.07,-31.95,-0.3706,-0.4689,-93.2,0.9872,13
1055,12,50,50,40,-90.58,-32.55,-0.3857,-0.4881,-93.54,0.9867,13
1056,12,50,50,35,-90.75,-32.75,-0.3909,-0.4944,-93.66,0.9866,13
1057,10,75,50,45,-91.05,-33.13,-0.4004,-0.5078,-97.57,0.9862,8
1058,15,75,50,45,-84.24,-26.51,-0.4057,-0.4747,-92.42,0.985,7
1059,12,20,50,45,-91.63,-33.87,-0.4196,-0.5334,-96.54,0.9856,17
1060,15,150,50,45,-89.81,-31.67,-0.4213,-0.5113,-95.88,0.9848,5
1061,25,200,50,45,-82.08,-24.92,-0.4432,-0.4895,-93.54,0.9824,1
1062,8,200,50,50,-92.5,-35.07,-0.4516,-0.5606,-98.02,0.9844,10
1063,20,50,50,40,-86.66,-28.52,-0.4639,-0.5411,-91.95,0.9828,3
1064,15,50,50,45,-90.31,-32.23,-0.4644,-0.5569,-94.46,0.9832,6
1065,15,50,50,40,-90.31,-32.23,-0.4644,-0.5569,-94.46,0.9832,6
1066,12,200,50,45,-87.33,-29.14,-0.4827,-0.5597,-90.43,0.9821,9
1067,25,150,50,40,-88.31,-30.08,-0.4849,-0.5741,-93.54,0.9821,1
1068,25,150,50,35,-88.54,-30.31,-0.4908,-0.5814,-93.54,0.9819,1
